,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
MEX3A,151,126,98,97,325,341,347,285,225,642,870,604,160,1106,1321,716
MEX3B,39,51,47,43,62,140,116,108,17,91,113,80,18,132,159,59
MEX3C,322,237,268,208,786,840,911,747,1359,1796,2261,1461,678,1981,2218,1535
MEX3D,239,234,185,178,573,818,866,687,283,392,441,315,125,582,626,379
MFAP1,182,218,177,165,443,636,607,539,928,725,1027,956,387,724,1015,1022
MFAP2,34,23,30,22,77,96,104,80,37,89,72,66,45,155,148,107
MFAP3,123,136,135,101,284,415,411,309,781,1060,1431,1059,556,1124,1419,1104
MFAP3L,122,163,132,166,237,437,574,573,425,1502,2180,2169,468,1633,1931,1459
MFAP4,2,0,1,1,2,1,2,0,1,3,6,3,12,6,17,6
MFAP5,1,2,2,2,3,3,3,6,29,17,24,27,28,22,28,67
MFF,464,329,340,289,1107,1065,1018,945,1803,1577,1703,1566,1711,1707,1700,1506
MFGE8,900,746,484,467,2180,2472,2220,1871,1133,3437,3751,3287,1273,4765,4472,3901
MFHAS1,448,470,433,425,1139,1788,1609,1441,2084,3925,3501,3234,669,4906,4239,3660
MFI2,365,148,93,112,529,565,619,454,631,781,754,799,375,916,827,1465
MFI2-AS1,18,8,6,7,24,16,21,5,31,29,37,22,68,34,24,34
MFN1,245,173,192,187,623,723,754,651,1161,1518,2069,1870,1157,1861,2013,1995
MFN2,614,544,592,539,1224,1638,1710,1615,3298,3898,4140,4046,1952,4442,4058,3450
MFNG,1,5,0,4,2,6,3,3,19,25,16,12,48,31,23,16
MFRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFSD1,135,128,121,160,302,362,460,369,841,884,1363,1386,334,1220,1376,1256
MFSD10,587,468,432,440,1236,1540,1538,1349,1863,1065,1110,1556,1641,1659,1843,1873
MFSD11,70,45,77,59,131,174,164,186,269,371,426,420,199,370,361,418
MFSD12,616,485,485,523,1160,1848,1975,1739,1143,1145,1124,1331,708,1662,1617,1393
MFSD2A,121,47,54,65,143,91,116,124,435,331,327,337,278,322,375,206
MFSD2B,0,1,1,0,2,0,0,1,0,2,6,3,2,1,0,0
MFSD3,162,195,140,149,272,501,484,385,254,328,278,318,252,464,391,322
MFSD4,15,33,24,19,33,71,65,46,76,115,109,106,65,142,136,93
MFSD5,148,144,136,150,333,402,422,428,604,552,637,659,297,567,696,594
MFSD6,175,220,199,187,269,459,478,411,649,1232,1468,1287,276,1383,1341,1437
MFSD6L,0,0,0,0,1,1,0,2,1,2,11,15,2,11,8,14
MFSD7,15,15,13,14,37,59,60,40,82,104,109,128,70,103,113,113
MFSD8,47,82,62,49,92,171,188,145,325,543,705,594,352,594,658,468
MFSD9,46,48,47,43,106,159,186,146,264,418,523,451,145,523,581,478
MGA,119,156,124,113,287,430,469,368,785,1122,1648,1326,620,1253,1764,1322
MGAM,0,5,3,3,2,4,2,6,3,1,8,13,2,16,9,7
MGARP,16,11,7,8,12,14,18,12,11,17,11,22,10,15,9,5
MGAT1,400,363,289,284,814,1130,1106,911,1443,1257,1238,1285,850,1707,1755,1446
MGAT2,189,199,184,161,406,647,634,531,1121,869,1192,952,540,924,1181,913
MGAT3,20,7,15,9,26,20,24,24,2,9,10,11,30,35,34,11
MGAT4A,130,86,99,102,231,341,327,312,393,940,1169,1209,421,882,1021,992
MGAT4B,3133,2557,2525,2666,7439,9347,9087,7817,8644,11374,11303,11092,5010,13432,11168,9427
MGAT4C,0,0,0,0,2,0,0,1,3,0,0,1,1,0,1,0
MGAT5,196,262,216,188,464,738,736,570,1538,1851,2166,1952,742,2362,2664,2414
MGAT5B,10,14,10,14,11,32,35,37,24,96,160,161,7,90,136,216
MGC12916,0,0,0,0,1,1,0,0,3,0,3,0,2,1,0,4
MGC15885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MGC16025,0,0,0,0,0,1,0,0,0,1,1,1,3,0,3,2
MGC16142,1,0,3,2,2,4,1,3,4,3,13,5,11,7,9,9
MGC16275,9,4,3,6,15,16,11,16,29,30,25,37,31,33,35,40
MGC27345,38,31,42,35,104,101,116,81,360,377,473,369,361,379,396,338
MGC27382,0,0,0,0,3,2,3,0,0,0,3,5,1,0,2,0
MGC2889,1,0,1,0,1,1,0,1,8,3,5,9,6,0,1,4
MGC32805,0,0,0,1,0,1,1,0,5,4,3,4,5,5,2,3
MGC34796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MGC39584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGC45800,6,7,5,5,17,19,13,7,21,17,18,9,18,20,16,8
MGC45922,1,1,0,0,2,0,1,0,2,1,0,0,5,3,3,0
MGC57346,40,39,33,22,111,95,87,83,254,220,270,260,256,189,234,231
MGC70870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGC72080,66,27,28,35,196,135,145,96,230,69,85,72,189,121,80,115
MGEA5,569,481,472,370,1311,1305,1428,1104,4442,6872,6926,5914,7164,6925,6572,5139
MGLL,2533,1485,1570,1570,5683,5752,5860,5183,9180,8458,9577,10102,4270,9860,9641,9734
MGME1,84,92,91,62,166,261,274,170,668,542,573,443,406,533,530,449
MGMT,194,112,95,92,542,468,418,358,369,273,278,241,430,343,310,399
MGP,0,2,0,0,0,2,2,4,6,43,14,9,12,12,11,6
MGRN1,519,555,570,584,1102,1725,1893,1598,1445,2446,2511,2570,853,2891,2755,2427
MGST1,2132,1033,1162,902,3798,2410,2805,2281,4535,4044,3804,3143,4432,3583,2645,1587
MGST2,125,143,112,127,224,382,329,336,711,500,616,583,437,517,513,490
MGST3,808,757,740,736,1920,2404,2452,2199,3170,4114,4472,4134,2144,3641,3444,3081
MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA-RAB4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA2,42,37,72,54,101,128,142,132,112,229,322,440,136,350,428,294
MIA3,281,245,263,264,636,706,798,721,1666,1613,2023,1956,1412,1861,1896,1725
MIAT,0,1,0,1,1,4,2,2,10,8,12,13,25,10,14,15
MIB1,233,140,123,141,442,523,506,505,2188,2742,3075,3017,1459,2908,2955,2684
MIB2,173,152,141,128,297,434,343,354,157,192,214,294,277,462,446,308
MICA,152,127,138,119,179,226,265,289,534,594,847,824,259,304,313,623
MICAL1,283,267,207,194,634,783,764,679,1172,1446,1394,1698,1287,1399,1265,1582
MICAL2,1462,616,561,375,2942,2179,1898,1295,8628,6061,5298,3524,3566,6765,5725,4452
MICAL3,866,600,640,663,1734,1835,2214,1993,3358,4757,5716,6511,2735,4258,5076,6517
MICALCL,12,1,3,4,15,14,25,10,112,69,61,50,73,79,63,52
MICALL1,318,343,255,217,707,1020,963,771,1326,1643,1667,1567,625,2097,2210,2233
MICALL2,122,128,107,100,240,355,333,270,314,398,346,477,525,742,668,514
MICB,55,55,36,31,85,98,103,92,457,300,411,328,200,229,275,274
MICU1,700,595,621,670,1571,1673,2056,1980,1644,2564,3172,3192,985,2565,2546,2421
MICU2,245,326,328,292,507,998,976,985,1506,2034,2501,2280,825,1723,1867,1765
MICU3,11,12,10,15,40,43,55,46,138,185,232,179,129,143,209,153
MID1,93,182,184,187,191,337,405,395,626,919,1415,1562,398,1037,1445,1889
MID1IP1,600,311,289,264,1421,918,984,824,1027,697,941,922,893,1133,1269,970
MID1IP1-AS1,2,2,1,1,8,6,6,6,7,17,27,36,20,8,27,25
MID2,101,88,69,96,249,265,277,208,348,438,517,498,278,595,509,410
MIDN,1184,701,683,677,2546,2007,2310,2110,1846,2517,2786,2371,1812,3181,3539,2425
MIEF1,274,321,271,204,530,835,944,735,1268,1714,2016,1633,646,1873,2040,1521
MIEF2,132,145,162,137,342,455,576,473,522,933,1020,1090,470,1210,1245,1116
MIEN1,261,235,217,191,690,814,776,681,883,800,826,825,689,824,786,739
MIER1,186,155,133,128,339,385,456,349,1264,1248,1438,1363,947,1323,1386,1206
MIER2,128,83,89,78,239,266,277,260,265,304,316,278,230,324,359,321
MIER3,76,97,98,91,205,266,322,264,631,783,1235,897,676,900,1087,828
MIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIF4GD,196,176,155,148,498,434,404,382,594,606,631,567,330,609,582,453
MIIP,86,61,66,74,227,244,241,208,369,288,299,339,368,362,340,390
MILR1,7,4,1,1,6,5,3,4,26,7,8,3,9,3,9,7
MIMT1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MINA,129,95,72,71,273,247,270,260,551,455,549,514,359,481,586,559
MINK1,934,981,912,878,2075,3322,3510,3223,2943,4552,5069,5570,2539,4933,5112,5767
MINOS1,149,126,139,124,300,413,449,379,1395,969,1247,1165,980,925,1054,1089
MINOS1-NBL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINOS1P1,0,0,0,0,2,0,0,0,3,0,3,1,1,2,4,1
MINPP1,160,143,121,123,374,447,415,374,640,537,614,613,342,531,600,567
MIOS,84,74,71,73,233,235,224,206,625,597,795,730,523,625,746,824
MIOX,74,109,89,63,232,513,513,425,96,421,277,314,150,316,207,120
MIP,1,1,0,0,0,2,4,4,3,2,3,1,0,3,4,4
MIPEP,193,177,171,178,426,460,575,526,817,907,1036,1085,395,807,920,804
MIPEPP3,2,1,5,3,29,36,38,22,48,63,67,73,19,48,58,46
MIPOL1,25,22,17,16,69,51,40,55,201,100,166,171,129,151,136,138
MIR1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIR100HG,15,3,2,0,48,24,9,4,292,36,43,29,517,35,43,96
MIR101-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR101-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR103A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR103A2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MIR103B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR103B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR105-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR105-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR106A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR106B,0,0,0,1,5,0,0,1,3,16,3,2,9,2,3,8
MIR107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR10A,0,0,0,0,0,1,2,0,2,2,3,0,0,1,2,2
MIR10B,0,4,4,1,1,7,5,4,2,8,14,6,7,5,16,5
MIR1178,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
MIR1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1180,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
MIR1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1184-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1184-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1184-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1185-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1185-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR1204,0,0,0,0,1,0,0,0,4,0,2,1,2,3,0,5
MIR1205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MIR1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1208,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIR1226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MIR1227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1229,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
MIR1231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR1233-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1233-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MIR124-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR124-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR124-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR124-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1244-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1244-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1244-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1245A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1245B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1249,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,0
MIR1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1256,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0
MIR1257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIR1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR125A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR125B1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MIR125B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1260A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1260B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIR1273H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1276,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR128-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR128-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1281,3,0,2,1,3,4,6,5,4,10,10,4,1,11,12,6
MIR1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1283-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1283-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIR1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1289-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR129-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR129-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1291,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
MIR1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1295A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1295B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1301,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
MIR1304,4,3,1,0,3,5,9,4,25,12,33,4,30,13,21,7
MIR1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MIR130A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR130B,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
MIR132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIR1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1324,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MIR133A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR133A1HG,0,0,0,0,4,1,0,0,8,10,2,3,14,11,2,12
MIR133A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR133B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR135A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR135A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR135B,0,0,2,1,1,1,1,0,0,4,7,3,2,8,2,3
MIR136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR137HG,0,0,0,0,1,0,1,0,0,3,3,2,0,1,4,3
MIR138-1,0,1,0,0,2,1,4,2,0,1,2,0,2,0,1,0
MIR138-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR140,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0
MIR141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR143HG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1469,0,2,0,0,3,3,2,1,0,0,0,1,0,0,2,0
MIR146A,0,0,1,0,0,0,0,0,3,0,0,1,2,3,7,1
MIR146B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1470,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0
MIR1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR147A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR147B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR148A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR148B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
MIR149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR153-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR153-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1539,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
MIR154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR155HG,17,5,5,9,20,18,21,10,533,78,83,44,307,35,37,159
MIR15A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR15B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR16-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIR16-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR17HG,10,1,2,1,34,4,10,2,144,64,37,21,238,40,37,23
MIR181A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR181A1HG,0,0,0,0,1,0,0,1,3,3,0,0,4,2,1,1
MIR181A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR181A2HG,0,0,0,0,2,2,3,2,5,2,3,0,8,2,5,8
MIR181B1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
MIR181B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR181C,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
MIR181D,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
MIR182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIR1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR186,1,0,0,1,2,2,1,2,17,16,32,30,51,21,22,20
MIR187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR18A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR18B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR1908,0,0,0,0,0,0,2,3,0,0,0,1,2,0,1,0
MIR1909,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
MIR190A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR190B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1914,0,1,0,2,2,6,6,3,8,13,8,21,17,12,14,18
MIR1915,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
MIR192,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0
MIR193A,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
MIR193B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR194-1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
MIR194-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MIR195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR196A1,0,0,0,0,0,0,0,0,0,1,1,2,4,4,5,5
MIR196A2,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,2
MIR196B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR197,0,0,0,0,0,0,1,0,2,0,0,2,2,1,0,0
MIR1972-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1972-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR199A1,1,0,0,0,0,0,1,0,0,0,2,1,2,1,1,0
MIR199A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR199B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR19A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR19B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR19B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,1,0,2,4,2,6,2,6,10,20,17,12,10
MIR200B,1,0,1,0,1,4,3,0,0,4,0,4,8,4,2,2
MIR200C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR202HG,0,0,1,0,0,0,1,0,0,1,3,1,0,0,2,0
MIR203A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR203B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR205HG,3,0,0,0,4,0,0,0,3,0,1,0,24,2,2,32
MIR206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR208A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
